henvendelse_id,kunde_id,dato,kanal,tekst
H015463,K130600,2024-01-01,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H015301,K130285,2024-01-01,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H004258,K108218,2024-01-01,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H016577,K132830,2024-01-01,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H012425,K124479,2024-01-01,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H016399,K132462,2024-01-01,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H003518,K106827,2024-01-01,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.09 % når nye kunder får bedre betingelser?
H003356,K106549,2024-01-01,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H009209,K118001,2024-01-01,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H014440,K128551,2024-01-01,telefon,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Bulder."
H013541,K126816,2024-01-01,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H002733,K105319,2024-01-01,chat,"Har fått tilbud fra Bulder på 4.84 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H013647,K127066,2024-01-01,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H000490,K101055,2024-01-01,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H006444,K112440,2024-01-01,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H006472,K112520,2024-01-01,chat,"Har fått tilbud fra Nordea på 4.86 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H011749,K123122,2024-01-01,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H013595,K126969,2024-01-01,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H002139,K104175,2024-01-01,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H002555,K104962,2024-01-01,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H020004,K139674,2024-01-01,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med en annen bank."
H002338,K104538,2024-01-01,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H011513,K122656,2024-01-01,e-post,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H012027,K123678,2024-01-01,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Danske Bank."
H018183,K135975,2024-01-01,e-post,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H018308,K136217,2024-01-01,e-post,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H019606,K138943,2024-01-02,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H004814,K109271,2024-01-02,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H007016,K113678,2024-01-02,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H008765,K117180,2024-01-02,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H019850,K139375,2024-01-02,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H005424,K110426,2024-01-02,e-post,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H016694,K133006,2024-01-02,e-post,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Nordea."
H004308,K108314,2024-01-02,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H004263,K108232,2024-01-02,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H000434,K100933,2024-01-02,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos Danske Bank.
H008901,K117393,2024-01-02,telefon,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.97 % når nye kunder får bedre betingelser?
H020085,K139834,2024-01-02,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H009601,K118805,2024-01-02,telefon,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H001506,K102960,2024-01-02,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H002617,K105095,2024-01-02,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.12 % når nye kunder får bedre betingelser?
H002686,K105218,2024-01-02,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H002829,K105527,2024-01-02,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H006391,K112309,2024-01-02,e-post,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H007137,K113941,2024-01-02,telefon,"Hei, jeg vurderer å flytte boliglånet mitt. Bulder tilbyr 4.8 % – kan dere matche det?"
H001179,K102370,2024-01-02,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H003580,K106951,2024-01-02,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H006146,K111808,2024-01-02,telefon,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H007208,K114092,2024-01-02,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H003908,K107546,2024-01-02,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H017016,K133682,2024-01-02,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H012356,K124369,2024-01-02,telefon,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H019401,K138532,2024-01-02,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H015020,K129711,2024-01-03,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H006023,K111600,2024-01-03,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H008792,K117219,2024-01-03,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H011111,K121872,2024-01-03,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H014824,K129338,2024-01-03,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.1 % når nye kunder får bedre betingelser?
H004464,K108556,2024-01-03,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H008827,K117282,2024-01-03,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H012988,K125630,2024-01-03,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H004700,K109007,2024-01-03,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H016416,K132484,2024-01-03,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H014803,K129288,2024-01-03,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H016974,K133592,2024-01-03,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H003903,K107531,2024-01-03,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H009782,K119178,2024-01-03,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H017637,K134945,2024-01-03,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H007653,K114912,2024-01-03,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H011645,K122930,2024-01-03,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H018198,K136011,2024-01-03,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H001505,K102959,2024-01-03,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H010473,K120556,2024-01-03,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011011,K121681,2024-01-03,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H012553,K124757,2024-01-03,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H001664,K103282,2024-01-03,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H007989,K115626,2024-01-03,e-post,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H005836,K111187,2024-01-04,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H008154,K115920,2024-01-04,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H012886,K125415,2024-01-04,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos en annen bank.
H016411,K132478,2024-01-04,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H005200,K110009,2024-01-04,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H004967,K109573,2024-01-04,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
